itype,inclination_degrees,eccentricity_std,period_minutes_std,name_of_satellite_alternate_names,country_org_of_un_registry,country_of_operator_owner,operator_owner,users,purpose,detailed_purpose,class_of_orbit,type_of_orbit,longitude_of_geo_degrees,perigee_km,apogee_km,eccentricity,period_minutes,launch_mass_kg,dry_mass_kg,power_watts,date_of_launch,expected_lifetime_yrs,contractor,country_of_contractor,launch_site,launch_vehicle,cospar_number,norad_number,comments
Low,3.2,-0.11667515831839918,1.2394690535689465,"Advanced Orion 3 (Mentor, NROL 19, USA 171)",USA,USA,National Reconnaissance Office (NRO),Military,Earth Observation,Electronic Intelligence,GEO,NA,95.4,35589,35984,0.004684924033067262,1436.1,4500,NA,NA,2003-09-09T00:00:00Z,NA,TRW Space and Electronics,USA,Cape Canaveral,Titan IV,2003-041A,27937,Electronic intelligence (ELINT).
Low,2.89,-0.1371571898590388,1.2431701227697924,"Advanced Orion 4 (Mentor, NRO L-26, USA 202)",USA,USA,National Reconnaissance Office (NRO),Military,Earth Observation,Electronic Intelligence,GEO,NA,44,35714,35937,0.0026424618738965055,1438.8,5000,NA,NA,2009-01-18T00:00:00Z,NA,National Reconnaissance Laboratory (?),USA,Cape Canaveral,Delta 4 Heavy,2009-001A,33490,ELINT.
Low,0,-0.1636560834630505,1.2393319769318782,"Advanced Orion 5 (Mentor, NRO L-32, USA 223)",USA,USA,National Reconnaissance Office (NRO),Military,Earth Observation,Electronic Intelligence,GEO,NA,100.9,35500,35500,0,1436,5000,NA,NA,2010-11-21T00:00:00Z,NA,National Reconnaissance Laboratory (?),USA,Cape Canaveral,Delta 4 Heavy,2010-063A,37232,ELINT.
Low,0,-0.15961229961379042,1.2394690535689465,"Advanced Orion 6 (Mentor, NRO L-15, USA 237)",USA,USA,National Reconnaissance Office (NRO),Military,Earth Observation,Electronic Intelligence,GEO,NA,60,35771,35805,4.032449357180132e-4,1436.1,5000,NA,NA,2012-06-29T00:00:00Z,NA,National Reconnaissance Laboratory (?),USA,Cape Canaveral,Delta 4 Heavy,2012-034A,38528,ELINT.
Low,7.51,-0.129140424281536,1.240963188912992,"Advanced Orion 7 (Mentor, NRO L-37, USA 268)",USA,USA,National Reconnaissance Office (NRO),Military,Earth Observation,Electronic Intelligence,GEO,NA,102.6,35613,35903,0.003441891378655526,1437.19,5000,NA,NA,2016-06-11T00:00:00Z,NA,National Reconnaissance Laboratory (?),USA,Cape Canaveral,Delta 4 Heavy,2016-036A,41584,ELINT.
Low,2.34,-0.1602068509840761,1.2394690535689465,"AEHF-2 (Advanced Extremely High Frequency satellite-2, USA 235)",USA,USA,US Air Force,Military,Communications,NA,GEO,NA,-120,35772,35801,3.4395644799734324e-4,1436.1,6169,NA,NA,2012-05-03T00:00:00Z,14,Lockheed Martin Space Systems,USA,Cape Canaveral,Atlas 5,2012-019A,38254,Second in constellation.
Low,4.2,-0.1513951817227335,1.2394690535689465,"AEHF-3 (Advanced Extremely High Frequency satellite-3, USA 246)",NR,USA,US Air Force,Military,Communications,NA,GEO,NA,152.1,35700,35803,0.0012226535142385718,1436.1,6169,NA,NA,2013-09-18T00:00:00Z,14,Lockheed Martin Space Systems,USA,Cape Canaveral,Atlas 5,2013-050A,39256,Third in constellation.
Low,4,-0.1636560834630505,1.2394690535689465,"AEHF-4 (Advanced Extremely High Frequency satellite-4, USA 288)",NR (11/18),USA,US Air Force,Military,Communications,NA,GEO,NA,0,35700,35700,0,1436.1,6169,NA,NA,2018-10-17T00:00:00Z,NA,Lockheed Martin Space Systems,USA,Cape Canaveral,Atlas 5,2018-079A,43651,NA
Low,0.02,0.05823638935175737,-0.5955758868653183,Aeneas,USA,USA,Department of Homeland Security,Government,Technology Development,NA,LEO,Equatorial,0,480,790,0.02212705210563883,97.4,3,NA,NA,2012-09-13T00:00:00Z,NA,University of Southern California,USA,Vandenberg AFB,Atlas 5,2012-048C,38760,Demonsration program to track cargo containers worldwide.
High,96.7,-0.16140611527662724,-0.6024297187187367,Aeolus,NR (11/18),ESA,European Space Agency (ESA),Government,Earth Observation,Earth Science,LEO,NA,0,314,317,2.243661655822302e-4,92.4,1367,NA,NA,2018-08-22T00:00:00Z,3,Airbus Defense and Space,France/UK/Germany/Spain,Guiana Space Center,Vega,2018-066A,43600,"Aeolus will precisely measure wind flow and air currents on the Earth, improving weather forecasting, and ultimately our ability to protect the environment."
High,85.03,-0.15198361646827258,-0.5994140327032325,Aerocube 11A (TOMSat Eagle Scout),NR (3/19),USA,Aerospace Corporation,Commercial,Technology Development,NA,LEO,Polar,0,495,511,0.0011639749745380474,94.6,4,NA,NA,2018-12-17T00:00:00Z,NA,Aerospace Corporation,USA,Rocket Lab Launch Complex 1,Electron,2018-104N,43861,Will test miniaturized imagers.
High,85.3,-0.14979200313627447,-0.5994140327032325,Aerocube 11B (TOMSat R3),NR (3/19),USA,Aerospace Corporation,Commercial,Technology Development,NA,LEO,Polar,0,492,511,0.0013825220112057047,94.6,4,NA,NA,2018-12-17T00:00:00Z,NA,Aerospace Corporation,USA,Rocket Lab Launch Complex 1,Electron,2018-104A,43849,Will test miniaturized imagers.
High,51.6,-0.15926677435586264,-0.599962339251506,Aerocube 12A,NR (3/19),USA,Aerospace Corporation,Commercial,Technology Development,NA,LEO,Non-Polar Inclined,0,481,487,4.377006127808579e-4,94.2,4,NA,NA,2018-07-16T00:00:00Z,NA,Aerospace Corporation,USA,Cygnus,Nanorack Deployer,2018-046C,43556,NA
High,51.6,-0.15926677435586264,-0.599962339251506,Aerocube 12B,NR (3/19),USA,Aerospace Corporation,Commercial,Technology Development,NA,LEO,Non-Polar Inclined,0,481,487,4.377006127808579e-4,94.2,4,NA,NA,2018-07-16T00:00:00Z,NA,Aerospace Corporation,USA,Cygnus,Nanorack Deployer,2018-046D,43557,NA
High,64.78,0.05201751563112055,-0.5951098262992858,Aerocube 5C,NR,USA,Aerospace Corporation,Commercial,Technology Development,NA,LEO,Non-Polar Inclined,0,500,802,0.021506907847884917,97.74,1.5,NA,NA,2015-10-08T00:00:00Z,NA,Aerospace Corporation,USA,Vandenberg AFB,Atlas 5,2015-058B,40965,"Demonstrate tracking technologies, optical communications and laser communication."
High,97.98,-0.10229153914880419,-0.59491791900739,Aerocube 6A,NR,USA,Aerospace Corporation,Commercial,Technology Development,NA,LEO,Sun-Synchronous,0,614,700,0.006119254304824249,97.88,5,NA,NA,2014-06-19T00:00:00Z,3,Aerospace Corporation,USA,Dombarovsky Air Base,Dnepr,2014-033AM,40045,Technology development for cubesat constellation.
High,97.98,-0.10229153914880419,-0.59491791900739,Aerocube 6B,NR,USA,Aerospace Corporation,Commercial,Technology Development,NA,LEO,Sun-Synchronous,0,614,700,0.006119254304824249,97.88,5,NA,NA,2014-06-19T00:00:00Z,3,Aerospace Corporation,USA,Dombarovsky Air Base,Dnepr,2014-033AN,40046,Technology development for cubesat constellation.
High,64.6,0.05201751563112055,-0.5955758868653183,Aerocube 7A,NR,USA,Aerospace Corporation,Commercial,Technology Development,NA,LEO,Non-Polar Inclined,0,500,802,0.021506907847884917,97.4,2,NA,NA,2015-10-08T00:00:00Z,NA,Aerospace Corporation,USA,Vandenberg AFB,Atlas 5,2015-058C,40966,NA
High,55,0.08639242502996705,-0.5986052805445291,Aerocube 8A,NR,USA,Aerospace Corporation,Commercial,Technology Development,NA,LEO,Non-Polar Inclined,0,356,700,0.02493476369962308,95.19,5,NA,NA,2015-05-20T00:00:00Z,NA,Aerospace Corporation,USA,Cape Canaveral,Atlas 5,2015-025J,40659,NA
High,55,0.08639242502996705,-0.5986052805445291,Aerocube 8B,NR,USA,Aerospace Corporation,Commercial,Technology Development,NA,LEO,Non-Polar Inclined,0,356,700,0.02493476369962308,95.19,5,NA,NA,2015-05-20T00:00:00Z,NA,Aerospace Corporation,USA,Cape Canaveral,Atlas 5,2015-025K,40660,NA
High,98,-0.15499747801747107,-0.5971796835190181,Aerocube 8C,NR,USA,Aerospace Corporation,Commercial,Technology Development,NA,LEO,Sun-Synchronous,0,573,585,8.634335875665563e-4,96.23,2,NA,NA,2016-11-11T00:00:00Z,NA,Aerospace Corporation,USA,Vandenberg AFB,Atlas 5,2016-067D,41851,NA
High,98,-0.1549962318163419,-0.5971796835190181,Aerocube 8D,NR,USA,Aerospace Corporation,Commercial,Technology Development,NA,LEO,Sun-Synchronous,0,572,584,8.635578583765112e-4,96.23,2,NA,NA,2016-11-11T00:00:00Z,NA,Aerospace Corporation,USA,Vandenberg AFB,Atlas 5,2016-067E,41852,NA
Low,0.12,-0.1584227031482306,1.2394416382415328,"Afghansat-1 (Eutelsat 28B, Eutelsat 48B, Eutelsat W2M, Eutelsat 48D)",France,Multinational,EUTELSAT S.A.,Commercial,Communications,NA,GEO,NA,48.00,35764,35808,5.218711452699497e-4,1436.08,3460,1555,7000,2008-12-20T00:00:00Z,15,EADS Astrium,France,Guiana Space Center,Ariane 5,2008-065B,33460,30 Ku-band transponders.
High,97.9,-0.1578578133231901,-0.5972208065101386,AIM (Aeronomy of Ice in Mesosphere),USA,USA,"Center for Atmospheric Sciences, Hampton University/NASA",Government,Earth Observation,Earth Science,LEO,Sun-Synchronous,0,544,552,5.782017924255566e-4,96.2,215,197,216,2007-04-25T00:00:00Z,2,Orbital Sciences Corp.,USA,Vandenberg AFB,Pegasus XL,2007-015A,31304,Study noctilucent clouds (NLC) in the polar mesosphere. In 2011 the mission was extended through FY 2012.
High,98.25,-0.1515163811546331,-0.5950824109718721,AISat-1,Germany,Germany,German Aerospace Center (DLR),Government,Communications,Automatic Identification System (AIS),LEO,Sun-Synchronous,0,643,660,0.0012105675425478886,97.76,14,NA,NA,2014-06-30T00:00:00Z,NA,German Aerospace Center (DLR),Germany,Satish Dhawan Space Centre,PSLV-CA,2014-034B,40054,Satellite equipped with AIS tracking.
High,98,-0.15146777721316806,-0.595850040139455,AISSat-1 (Automatic Identification System Satellite-1),Norway,Norway,Norwegian Coastal Admnistration,Government,Communications,Automatic Identification System (AIS),LEO,Sun-Synchronous,0,615,632,0.001215414313290913,97.2,6,NA,NA,2010-07-12T00:00:00Z,3,Kongsberg Seatex AS/University of Toronto Institute for Aerospace Studies,Canada,Satish Dhawan Space Centre,PSLV,2010-035C,36797,Equipped with instrument that receives and forwards Automatic Identification System (AIS) signals; will demonstrate maritime ship-tracking technologies.
High,98.4,-0.15935709452040037,-0.5957540864935071,AISSat-2 (Automatic Identification System Satellite-2),Norway,Norway,Norwegian Coastal Admnistration,Government,Communications,Automatic Identification System (AIS),LEO,Sun-Synchronous,0,625,631,4.2869391254644185e-4,97.27,6,NA,NA,2014-07-08T00:00:00Z,3,Kongsberg Seatex AS/University of Toronto Institute for Aerospace Studies,Norway/Canada,Baikonur Cosmodrome,Soyuz-2.1b,2014-037G,40075,Second in the series.
High,82.4,-0.14426768950773425,-0.5962612700506601,AIST-1,Russia,Russia,"Samara State Aerospace University, SGAU",Civil,Technology Development,NA,LEO,Polar,0,599,626,0.001933404940923738,96.9,NA,NA,NA,2013-12-28T00:00:00Z,NA,TsSKB Progress,Russia,Plesetsk Cosmodrome,"Soyuz 2,1v",2013-078C,39492,Designed to measure the Earth’s geomagnetic field and test out a new satellite design.
High,64.88,-0.14631641509379073,-0.5974127138020343,AIST-2,Russia,Russia,"Samara State Aerospace University, SGAU",Civil,Technology Development,NA,LEO,Non-Polar Inclined,0,558,582,0.001729106628242075,96.06,53,NA,NA,2013-04-19T00:00:00Z,3,"Samara State Aerospace University, SGAU",Russia,Baikonur Cosmodrome,Soyuz 2.1a,2013-015D,39133,Designed to measure the Earth’s geomagnetic field and test out a new satellite design.
High,97.28,-0.1526739981083503,-0.5999897545789197,AIST-2D,Russia,Russia,"Samara State Aerospace University, SGAU",Civil,Technology Development,NA,LEO,Sun-Synchronous,0,471,486,0.0010951303205081406,94.18,531,NA,NA,2016-04-27T00:00:00Z,NA,Samara State Aerospace University/TsSKB Progress,Russia,Vostochny Cosmodrome,Soyuz 2.1a,2016-026B,41465,"Aist 2D also carries an innovative radar operating in P-band, a wavelength that penetrates through forest canopies and Earth’s surface to study underground structures."
High,97.8,-0.15067564712449202,-0.5969466532360019,AISTechSat-2,NR (3/19),Spain,AISTech,Commercial,Earth Observation,Automatic Identification System (AIS),LEO,Sun-Synchronous,0,574,592,0.0012944052926794189,96.4,2.6,NA,NA,2018-12-03T00:00:00Z,NA,GomSpace ApS,Denmark,Vandenberg AFB,Falcon 9,2018-099L,43768,First satellite built by GOMSpace. Earth observation and AIS tracking. Demonstration flight.
Low,0,-0.16139624149406728,1.2393319769318782,Al Yah-3,Brazil,United Arab Emirates,Al Yah Satellite Communications Co. (YAHSAT),Commercial,Communications,NA,GEO,NA,-20,35777,35796,2.2535077627412143e-4,1436,3795,NA,NA,2018-01-25T00:00:00Z,15,Orbital ATK,USA,Guiana Space Center,Ariane 5,2018-012A,43174,"Placed in an incorrect transfer orbit, but has reached correct orbit and functioning well."
High,85.04,-0.15125318498963428,-0.5994140327032325,ALBus (Advanced Electrical Bus),NR (3/19),USA,NASA Glenn Research Center,Government,Technology Development,NA,LEO,Polar,0,494,511,0.0012368133866860677,94.6,4,NA,NA,2018-12-16T00:00:00Z,NA,NASA Glenn Research Center,USA,Rocket Lab Launch Complex 1,Electron,2018-104L,43859,Various technology demonstrations on cubesat involving electrical systems.
Low,0.04,-0.1572310123544866,1.2394690535689465,Alcomsat (Algerian Communications Satellite),Algeria,Algeria,Algerian Space Agency (ASAL),Government,Communications,NA,GEO,NA,-24.8,35744,35798,6.407062006122304e-4,1436.1,5225,NA,NA,2017-12-10T00:00:00Z,15,China Academy of Space Technology (CAST),China,Xichang Satellite Launch Center,Long March 3B,2017-078A,43039,Algeria's first communications satellite.
High,97.3,-0.13955532089460515,-0.5995511093403009,ALE-1 (Astro Live Experiences 1),NR (3/19),Japan,Astro Live Experiences,Commercial,Technology Development,NA,LEO,Sun-Synchronous,0,479,512,0.002403320952589032,94.5,68,NA,NA,2019-01-18T00:00:00Z,2,Astro Live Experiences,Japan,Uchinoura Space Center,Epsilon,2019-003G,43938,Will create artificial meteor showers.
High,97.7,-0.15211459797101934,-0.5972208065101386,Al-Farabi-2,NR (3/19),Kazakhstan,Al-Farabi Kazakh National University,Civil,Technology Development,NA,LEO,Sun-Synchronous,0,573,589,0.0011509135376204863,96.2,4,NA,NA,2018-12-03T00:00:00Z,NA,Al-Farabi Kazakh National University,Kazakhstan,Vandenberg AFB,Falcon 9,2018-099AZ,43805,Technology demonstration mission.
High,120.3,0.15210565764517603,-0.594753427042908,ALiCE  (AFIT LEO iMESA CNT E),NR,USA,US Air Force Institute of Technology,Military,Technology Development,NA,LEO,Polar,0,443,886,0.03148766792238254,98,5,NA,NA,2013-12-06T00:00:00Z,NA,US Air Force Institute of Technology,USA,Vandenberg AFB,Atlas 5,2013-072F,39467,Testing a potential lightweight propulsion system for microsatellites based on an array of advanced carbon nanotubes for accelerating ions.
High,98.2,-0.15366081684647354,-0.5951646569541131,Alsat 2B,Algeria,Algeria,Algerian Space Agency (ASAL),Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,646,660,9.967250462765201e-4,97.7,117,NA,NA,2016-09-26T00:00:00Z,5,Airbus Defense and Space,France/UK/Germany/Spain,Satish Dhawan Space Centre,PSLV,2016-059D,41786,Surveillance.
High,98.2,-0.13308475039703074,-0.5942051204946345,Alsat-1B,Algeria,Algeria,Algerian Space Agency (ASAL),Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,661,704,0.0030485643388869195,98.4,103,NA,NA,2016-09-26T00:00:00Z,5,Surrey Satellite Technology Ltd.,UK,Satish Dhawan Space Centre,PSLV,2016-059C,41785,"Imagery for agricultural and resource monitoring, disaster management, land use mapping and urban planning,"
High,98.2,-0.13733932314991643,-0.5943421971317029,AlSat-1N,Algeria,Algeria,Algerian Space Agency (ASAL)/UK Space Agency,Government,Technology Development,NA,LEO,Sun-Synchronous,0,661,698,0.0026242995957160083,98.3,10,NA,NA,2016-09-26T00:00:00Z,NA,Surrey Satellite Technology Ltd.,UK,Satish Dhawan Space Centre,PSLV,2016-059G,41789,Technology demonstration satellite for Algerian students.
High,98.1,-0.16223224302475878,-0.5944792737687713,Alsat-2A (Algeria Satellite 2A),Algeria,Algeria,Algerian Space Agency (ASAL),Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,672,674,1.419849495953429e-4,98.2,130,NA,NA,2010-07-12T00:00:00Z,5,EADS Astrium,France/UK/Germany/Spain,Satish Dhawan Space Centre,PSLV,2010-035D,36798,"The system will enable Algeria to obtain very high quality images for use in a wide variety of applications: cartography, management of agriculture, forestry, water, mineral and oil resources, crop protection, management of natural disasters and land planning."
High,51.6,-0.16143501852243286,-0.6021555654445999,Altair-1 (Altair Pathfinder),USA,USA,Millennium Space Systems,Commercial,Technology Demonstration,NA,LEO,Non-Polar Inclined,0,401,404,2.2148394241417498e-4,92.6,10,NA,NA,2017-05-18T00:00:00Z,0.25,Millennium Space Systems,USA,International Space Station,Nanorack Deployer,1998-067LS,42711,NA
Low,0.03,-0.15913634591843331,1.2394416382415328,Amazonas-2,Brazil,Spain,Hispamar (subsidiary of Hispasat - Spain),Commercial,Communications,NA,GEO,NA,-61,35767,35805,4.5070689818768383e-4,1436.08,5465,NA,15300,2009-10-01T00:00:00Z,15,EADS Astrium,France/UK/Germany/Spain,Guiana Space Center,Ariane 5,2009-054A,35942,"54 Ku-band, 10 C-band transponders; North, Central and South America."
Low,0.03,-0.162466678846046,1.2394005152504124,Amazonas-3,Brazil,Spain,Hispamar (subsidiary of Hispasat - Spain),Commercial,Communications,NA,GEO,NA,-61,35781,35791,1.1860707847044311e-4,1436.05,6265,2778,14000,2013-02-07T00:00:00Z,15,Space Systems/Loral,USA,Guiana Space Center,Ariane 5 ECA,2013-006A,39078,NA
Low,0.08,-0.16234784700061886,1.2396609608608424,Amazonas-4A,NR,Spain,Hispamar (subsidiary of Hispasat - Spain),Commercial,Communications,NA,GEO,NA,-61,35784,35795,1.3045695513466714e-4,1436.24,2938,NA,NA,2014-03-22T00:00:00Z,15,Orbital Sciences Corp.,USA,Guiana Space Center,Ariane 5 ECA,2014-011A,39616,Suffered a power malfunction shortly after entering orbit; will affect capacity.
Low,0.04,-0.16318033290172554,1.2394827612326533,Amazonas-5,NR,Spain,Hispamar (subsidiary of Hispasat - Spain),Commercial,Communications,NA,GEO,NA,-61,35785,35789,4.74417060037479e-5,1436.11,5900,NA,NA,2017-09-12T00:00:00Z,15,Space Systems/Loral,USA,Baikonur Cosmodrome,Proton,2017-053A,42934,"34 Ka-band, 24 Ku-band"
Low,0.03,-0.16032575053543782,1.2394690535689465,"AMC-1 (Americom 1, GE-1)",USA,USA,SES S.A.,Commercial,Communications,NA,GEO,NA,-129.15,35772,35800,3.3209981971724073e-4,1436.1,2783,1600,"6,500 (EOL)",1996-09-08T00:00:00Z,15,Lockheed Martin Commercial Space Systems,USA,Cape Canaveral,Atlas 2A,1996-054A,24315,"Broadcasting, business, cable, mobile; 24 C-band and 24 Ku-band transponders; 50 states and Caribbean"
Low,0.01,-0.16103939330564054,1.2394553459052398,"AMC-10 (Americom-10, GE 10)",USA,USA,SES S.A.,Commercial,Communications,NA,GEO,NA,-134.97,35775,35797,2.609355726349749e-4,1436.09,2315,907,"6,500 (EOL)",2004-02-05T00:00:00Z,15,Lockheed Martin,USA,Cape Canaveral,Atlas 2AS,2004-003A,28154,24 C-band transponders.
Low,0.04,-0.16092042039703972,1.239427930577826,"AMC-11 (Americom-11, GE 11)",USA,USA,SES S.A.,Commercial,Communications,NA,GEO,NA,-130.93,35774,35797,2.7279951607738016e-4,1436.07,2340,2316,"6,500 (EOL)",2004-05-19T00:00:00Z,15,Lockheed Martin,USA,Cape Canaveral,Atlas 2AS,2004-017A,28252,24 C-band transponders.
Low,0.04,-0.16151515515244233,1.2394416382415328,AMC-15 (Americom-15),USA,USA,SES S.A.,Commercial,Communications,NA,GEO,NA,-105.04,35777,35795,2.134927412467976e-4,1436.08,4200,NA,NA,2004-10-14T00:00:00Z,15,Lockheed Martin,USA,Baikonur Cosmodrome,Proton M,2004-041A,28446,"Hybrid Ku-Ka-band satellite; CONUS, Alaska, Hawaii."
Low,0.02,-0.16210987580006198,1.2394690535689465,AMC-16 (Americom-16),USA,USA,SES S.A.,Commercial,Communications,NA,GEO,NA,-84.98,35780,35793,1.5418737324018834e-4,1436.1,4312,NA,NA,2004-12-17T00:00:00Z,15,Lockheed Martin Commercial Space Systems,USA,Cape Canaveral,Atlas 5,2004-048A,28472,"Hybrid Ku-Ka-band satellite; CONUS, Alaska, Hawaii."
Low,0.06,-0.16044472908607432,1.2394690535689465,AMC-18 (Americom 18),USA,USA,SES S.A.,Commercial,Communications,NA,GEO,NA,-104.97,35773,35800,3.2023531365269885e-4,1436.1,2081,918,NA,2006-12-08T00:00:00Z,15,Lockheed Martin Missiles & Space,USA,Guiana Space Center,Ariane 5,2006-054B,29644,All c-band transponders for North American coverage.
Low,0.05,-0.16080151238223964,1.2394690535689465,"AMC-2 (Americom 2, GE-2)",USA,USA,SES S.A.,Commercial,Communications,NA,GEO,NA,-100.98,35774,35798,2.846569883290635e-4,1436.1,2648,1600,"6,500 (EOL)",1997-01-30T00:00:00Z,15,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 44L,1997-002A,24713,"Broadcasting, business, cable; CONUS, Hawaii, Caribbean, southern Canada; 24 Ku- and 24 C-band"
Low,3,-0.16187195537652171,1.2394690535689465,AMC-21 (Americom 21),United Kingdom,USA,SES S.A.,Commercial,Communications,NA,GEO,NA,-124.86,35778,35793,1.7791272787655228e-4,1436.1,2500,NA,5000,2008-08-14T00:00:00Z,15,Orbital Sciences Corp.,USA,Guiana Space Center,Ariane 5 ECA,2008-038B,33275,"Television services to the US, Canada, Mexico and Caribbean."
Low,0.01,-0.162466678846046,1.2394690535689465,"AMC-4 (Americom-4, GE-4)",USA,USA,SES S.A./Gogo,Commercial,Communications,NA,GEO,NA,-100.99,35781,35791,1.1860707847044311e-4,1436.1,3909,2500,NA,1999-11-13T00:00:00Z,15,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 44LP,1999-060A,25954,"Broadcasting, cable, internet; CONUS, Canada, Mexico, Caribbean, Central America, South America; 28 Ku- and 24 C-band"
Low,0.05,-0.16163411959606552,1.2394964688963601,"AMC-6 (Americom-6, GE-6)",USA,USA,SES S.A.,Commercial,Communications,NA,GEO,NA,-71.98,35778,35795,2.0162964192947707e-4,1436.12,3901,2500,NA,2000-10-22T00:00:00Z,15,Lockheed Martin Commercial Space Systems,USA,Baikonur Cosmodrome,Proton K,2000-067A,26580,"Business (government and VSAT), media and entertainment; 28 Ku- and 24 C-band; CONUS, Canada, Mexico, Caribbean, Central America"
Low,0.01,-0.1606825366521692,1.2394416382415328,"AMC-7 (Americom-7, GE-7)",USA,USA,SES S.A.,Commercial,Communications,NA,GEO,NA,-136.94,35773,35798,2.9652121312758714e-4,1436.08,1935,912,"6,500 (EOL)",2000-09-14T00:00:00Z,15,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 5G,2000-054B,26495,"Cable programming; 24 C-band; CONUS, Alaska, Hawaii, Caribbean"
